title|offer_type|desc|size|price|gradnja|adaptacija
LJ. CENTER|dvosobno|61,9 m2, 2-sobno, zgrajeno l. 1991, adaptirano l. 2019, 4. nad., oddamo. Cena: 900,00 EUR/mes|61,90 m2|900,00 €/mesec|1991|2019
LJ. CENTER|trisobno|62 m2, 3-sobno, zgrajeno l. 1970, adaptirano l. 2010, 5/12 nad., Pogled na zahod, stanovanje je v bližini RTVja. Delno o...|62,00 m2|800,00 €/mesec|1970|2010
LJ. CENTER|dvosobno|62 m2, 2-sobno, zgrajeno l. 2006, 1. nad., oddamo. Cena: 750,00 EUR/mes|62,00 m2|750,00 €/mesec|2006|nan
LJ. CENTER|dvosobno|62 m2, 2-sobno, zgrajeno l. 1955, oddamo. Cena: 700,00 EUR/mes|62,00 m2|700,00 €/mesec|1955|nan
LJ. CENTER|trisobno|63 m2, 3-sobno, zgrajeno l. 1961, adaptirano l. 2010, 2/5 nad., oddamo. Cena: 820,00 EUR/mes|63,00 m2|820,00 €/mesec|1961|2010
LJ. CENTER|dvosobno|63 m2, 2-sobno, zgrajeno l. 1948, adaptirano l. 2019, VP/3 nad., Ljubljana-CENTER, Ilirska, oddamo prostorno, prenovljen...|63,00 m2|850,00 €/mesec|1948|2019
LJ. CENTER|dvosobno|63 m2, 2-sobno, zgrajeno l. 1933, adaptirano l. 2010, 3/4 nad., 2-sobno stanovanje z lastnim parkirnim mestom: ljubljana...|63,00 m2|800,00 €/mesec|1933|2010
LJ. CENTER|trisobno|63,3 m2, 3-sobno, zgrajeno l. 1961, adaptirano l. 2010, 2/5 nad., 3-sobno stanovanje, Ljubljana Center, zgrajeno l. 1961...|63,30 m2|820,00 €/mesec|1961|2010
LJ. CENTER|dvosobno|64 m2, 2-sobno, zgrajeno l. 1969, adaptirano l. 2010, 8/13 nad., oddamo. Cena: 750,00 EUR/mes|64,00 m2|750,00 €/mesec|1969|2010
LJ. CENTER|dvosobno|65 m2, 2-sobno, zgrajeno l. 1970, adaptirano l. 2016, P/2 nad., Stanovanje v pritličju stanovanjske hiše z ločenim vhodo...|65,00 m2|720,00 €/mesec|1970|2016
LJ. CENTER|dvosobno|65 m2, 2-sobno, zgrajeno l. 1896, adaptirano l. 2013, 4/4 nad., oddamo. Cena: 950,00 EUR/mes|65,00 m2|950,00 €/mesec|1896|2013
LJ. CENTER|dvoinpolsobno|65 m2, 2,5-sobno, zgrajeno l. 1933, adaptirano l. 2018, 3/6 nad., center mesta - stavba Nebotičnik, polno opremljeno sta...|65,00 m2|850,00 €/mesec|1933|2018
LJ. CENTER|trisobno|66,09 m2, 3-sobno, zgrajeno l. 1970, adaptirano l. 2010, 5/12 nad., oddamo. Cena: 800,00 EUR/mes|66,09 m2|800,00 €/mesec|1970|2010
LJ. CENTER|dvoinpolsobno|66,4 m2, 2,5-sobno, zgrajeno l. 1986, adaptirano l. 2008, mansarda, oddamo. Cena: 800,00 EUR/mes|66,40 m2|800,00 €/mesec|1986|2008
LJ. CENTER|dvosobno|68 m2, 2-sobno, zgrajeno l. 2007, adaptirano l. 2017, 1/3 nad., oddamo. Cena: 700,00 EUR/mes|68,00 m2|700,00 €/mesec|2007|2017
LJ. CENTER|dvoinpolsobno|68 m2, 2,5-sobno, zgrajeno l. 2005, 1/6 nad., oddamo. Cena: 900,00 EUR/mes|68,00 m2|900,00 €/mesec|2005|nan
LJ. CENTER|dvosobno|68 m2, 2-sobno, zgrajeno l. 2007, adaptirano l. 2017, 1/3 nad., LJ-Center, Mesarska, 2ss - 68 m2, 1. nadstropje, prijetn...|68,00 m2|700,00 €/mesec|2007|2017
LJ. CENTER|dvosobno|68 m2, 2-sobno, zgrajeno l. 2007, adaptirano l. 2019, 3/4 nad., LJ-CENTER, 68 m2, 2-sobno, zgrajeno 2007, adaptirano L. ...|68,00 m2|750,00 €/mesec|2007|2019
LJ. CENTER|dvosobno|70 m2, 2-sobno, poslovni apartma, adaptirano l. 2018, P/2 nad., CK KTV, wifi,klima, oddamo. Cena: 790,00 EUR/mes|70,00 m2|790,00 €/mesec|nan|2018
LJ. CENTER|trisobno|70 m2, 3-sobno, zgrajeno l. 1959, adaptirano l. 2010, 1/3 nad., oddamo. Cena: 1.200,00 EUR/mes|70,00 m2|1.200,00 €/mesec|1959|2010
LJ. CENTER|dvosobno|70 m2, 2-sobno, zgrajeno l. 1986, adaptirano l. 2013, mansarda, V urejeni meščanski stavbi oddamo čudovito stanovanje. V...|70,00 m2|1.000,00 €/mesec|1986|2013
LJ. CENTER|dvosobno|71 m2, 2-sobno, zgrajeno l. 1941, visoko pritličje, Oddamo prijetno, opremljeno stanovanje na Poljanah. Razpored: prosto...|71,00 m2|650,00 €/mesec|1941|nan
LJ. CENTER|dvosobno|71,1 m2, 2-sobno, zgrajeno l. 1896, oddamo. Cena: 850,00 EUR/mes|71,10 m2|850,00 €/mesec|1896|nan
LJ. CENTER|dvosobno|71,4 m2, 2-sobno, zgrajeno l. 1999, 1. nad., oddamo. Cena: 1.250,00 EUR/mes|71,40 m2|1.250,00 €/mesec|1999|nan
LJ. CENTER|trisobno|72,5 m2, 3-sobno, zgrajeno l. 1982, adaptirano l. 2018, 4/6 nad., 3-sobno stanovanje, Ljubljana - Trnovo, zgrajeno l. 19...|72,50 m2|1.100,00 €/mesec|1982|2018
LJ. CENTER|trisobno|72,8 m2, 3-sobno, zgrajeno l. 1962, adaptirano l. 2011, 1/10 nad., sončno, prostorno, opremljeno, trisobno stanovanje z ...|72,80 m2|850,00 €/mesec|1962|2011
LJ. CENTER|trisobno|73 m2, 3-sobno, zgrajeno l. 2004, 4/6 nad., LJ. center - kotnikova ulica - opremljeno + 3x balkon, shramba in parkirno m...|73,00 m2|890,00 €/mesec|2004|nan
LJ. CENTER|triinpolsobno|74 m2, 3,5-sobno, zgrajeno l. 1957, adaptirano l. 2015, pritličje, oddamo. Cena: 1.250,00 EUR/mes|74,00 m2|1.250,00 €/mesec|1957|2015
LJ. CENTER|triinpolsobno|75 m2, 3,5-sobno, zgrajeno l. 1957, adaptirano l. 2015, visoko pritličje, oddamo. Cena: 1.250,00 EUR/mes|75,00 m2|1.250,00 €/mesec|1957|2015
LJ. CENTER|trisobno|75 m2, 3-sobno, zgrajeno l. 1845, adaptirano l. 2019, oddamo. Cena: 1.500,00 EUR/mes|75,00 m2|1.500,00 €/mesec|1845|2019
LJ. CENTER|trisobno|75 m2, 3-sobno, zgrajeno l. 1900, adaptirano l. 2019, oddamo. Cena: 1.200,00 EUR/mes|75,00 m2|1.200,00 €/mesec|1900|2019
LJ. CENTER|trisobno|75,5 m2, 3-sobno, zgrajeno l. 1970, adaptirano l. 2017, 2/2 nad., oddamo. Cena: 1.430,00 EUR/mes|75,50 m2|1.430,00 €/mesec|1970|2017
LJ. CENTER|trisobno|75,5 m2, 3-sobno, zgrajeno l. 1845, adaptirano l. 2017, 2/2 nad., oddamo. Cena: 1.300,00 EUR/mes|75,50 m2|1.300,00 €/mesec|1845|2017
LJ. CENTER|trisobno|75,5 m2, 3-sobno, zgrajeno l. 1845, adaptirano l. 2019, 2/2 nad., 3-sobno stanovanje, Ljubljana Center, zgrajeno l. 1845...|75,50 m2|1.400,00 €/mesec|1845|2019
LJ. CENTER|trisobno|76 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2017, VP/3 nad., Stanovanje se nahaja na Resljevi cesti 6, v neposredni ...|76,00 m2|1.090,00 €/mesec|1939|2017
LJ. CENTER|trisobno|76 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2017, VP/3 nad., center mesta, polno opremljeno stanovanje, v celoti pre...|76,00 m2|1.090,00 €/mesec|1939|2017
LJ. CENTER|dvoinpolsobno|78,1 m2, 2,5-sobno, zgrajeno l. 1900, adaptirano l. 2019, 1/3 nad., 2,5-sobno stanovanje, Ljubljana Center, zgrajeno l. ...|78,10 m2|990,00 €/mesec|1900|2019
LJ. CENTER|dvosobno|78,5 m2, 2-sobno, zgrajeno l. 1880, 2/3 nad., oddamo. Cena: 1.300,00 EUR/mes|78,50 m2|1.300,00 €/mesec|1880|nan
LJ. CENTER|triinpolsobno|80 m2, 3,5-sobno, zgrajeno l. 1897, adaptirano l. 2010, 1. nad., oddamo. Cena: 1.400,00 EUR/mes|80,00 m2|1.400,00 €/mesec|1897|2010
LJ. CENTER|trisobno|80 m2, 3-sobno, zgrajeno l. 1800, adaptirano l. 2019, 1. nad., oddamo. Cena: 1.250,00 EUR/mes|80,00 m2|1.250,00 €/mesec|1800|2019
LJ. CENTER|dvosobno|80 m2, 2-sobno, zgrajeno l. 1880, 2. nad., 2-sobno stanovanje, Prešernova cesta, stavba zgr. l.1880, 2.nadstropje, 80,00...|80,00 m2|1.000,00 €/mesec|1880|nan
LJ. CENTER|triinpolsobno|80 m2, 3,5-sobno, zgrajeno l. 2002, 3/6 nad., 3,5 sobno stanovanje Ljubljana - Center Kotnikova 34 oddam, oddamo. Cena: ...|80,00 m2|975,00 €/mesec|2002|nan
LJ. CENTER|trisobno|80,7 m2, 3-sobno, zgrajeno l. 2000, 3. nad., oddamo. Cena: 1.100,00 EUR/mes|80,70 m2|1.100,00 €/mesec|2000|nan
LJ. CENTER|triinpolsobno|81,2 m2, 3,5-sobno, zgrajeno l. 1957, adaptirano l. 2015, VP/5 nad., 3,5 - sobno stanovanje, Ljubljana Center - Vrtača, ...|81,20 m2|1.250,00 €/mesec|1957|2015
LJ. CENTER|dvosobno|81,4 m2, 2-sobno, zgrajeno l. 1929, adaptirano l. 2020, oddamo. Cena: 1.000,00 EUR/mes|81,40 m2|1.000,00 €/mesec|1929|2020
LJ. CENTER|trisobno|81,8 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2019, 10/12 nad., ob Ljubljanici, center, prostorno, oddamo. Cena: 900...|81,80 m2|900,00 €/mesec|1974|2019
LJ. CENTER|trisobno|83 m2, 3-sobno, zgrajeno l. 2017, 2. nad., oddamo. Cena: 1.400,00 EUR/mes|83,00 m2|1.400,00 €/mesec|2017|nan
LJ. CENTER|štirisobno|83 m2, 4-sobno, zgrajeno l. 2001, 3. nad., oddamo. Cena: 900,00 EUR/mes|83,00 m2|900,00 €/mesec|2001|nan
LJ. CENTER|dvosobno|84 m2, 2-sobno, zgrajeno l. 1896, adaptirano l. 2014, Posredujemo pri oddaji 2-sobnega stanovanja, ki se nahaja v večsta...|84,00 m2|1.000,00 €/mesec|1896|2014
LJ. CENTER|trisobno|84 m2, 3-sobno, zgrajeno l. 1929, 1. nad., oddamo. Cena: 1.100,00 EUR/mes|84,00 m2|1.100,00 €/mesec|1929|nan
LJ. CENTER|dvosobno|85 m2, 2-sobno, zgrajeno l. 1938, 3/4 nad., BLIŽINA TRŽNICE, prostorno staromeščansko stanovanje z lastnim zavarovanim p...|85,00 m2|1.000,00 €/mesec|1938|nan
LJ. CENTER|trisobno|85 m2, 3-sobno, zgrajeno l. 1930, adaptirano l. 2000, pritličje, oddamo. Cena: 1.000,00 EUR/mes|85,00 m2|1.000,00 €/mesec|1930|2000
LJ. CENTER|trisobno|85 m2, 3-sobno, zgrajeno l. 1900, adaptirano l. 2019, 1/3 nad., oddamo. Cena: 990,00 EUR/mes|85,00 m2|990,00 €/mesec|1900|2019
LJ. CENTER|trisobno|85 m2, 3-sobno, zgrajeno l. 1910, 4. nad., oddamo. Cena: 1.550,00 EUR/mes|85,00 m2|1.550,00 €/mesec|1910|nan
LJ. CENTER|trisobno|85,9 m2, 3-sobno, zgrajeno l. 1900, adaptirano l. 2019, oddamo. Cena: 990,00 EUR/mes|85,90 m2|990,00 €/mesec|1900|2019
LJ. CENTER|dvosobno|86 m2, 2-sobno, zgrajeno l. 1700, adaptirano l. 2020, 1/3 nad., oddamo. Cena: 980,00 EUR/mes|86,00 m2|980,00 €/mesec|1700|2020
LJ. CENTER|dvosobno|86 m2, 2-sobno, zgrajeno l. 1700, adaptirano l. 2010, 1. nad., oddamo. Cena: 980,00 EUR/mes|86,00 m2|980,00 €/mesec|1700|2010
LJ. CENTER|trisobno|86 m2, 3-sobno, zgrajeno l. 1999, 3. nad., oddamo. Cena: 800,00 EUR/mes|86,00 m2|800,00 €/mesec|1999|nan
LJ. CENTER|štirisobno|87 m2, 4-sobno, zgrajeno l. 1730, adaptirano l. 2000, P/2 nad., oddamo. Cena: 1.200,00 EUR/mes|87,00 m2|1.200,00 €/mesec|1730|2000
LJ. CENTER|trisobno|87 m2, 3-sobno, zgrajeno l. 1965, 5. nad., oddamo. Cena: 1.100,00 EUR/mes|87,00 m2|1.100,00 €/mesec|1965|nan
LJ. CENTER|trisobno|87 m2, 3-sobno, dupleks, zgrajeno l. 1997, adaptirano l. 2018, 2/2 nad., center, dupleks s teraso, zraven Zmajskega most...|87,00 m2|900,00 €/mesec|1997|2018
LJ. CENTER|trisobno|87,9 m2, 3-sobno, zgrajeno l. 2017, oddamo. Cena: 1.350,00 EUR/mes|87,90 m2|1.350,00 €/mesec|2017|nan
LJ. CENTER|trisobno|89 m2, 3-sobno, zgrajeno l. 1898, adaptirano l. 2016, zelo lepo, prenovljeno stanovanje v starem mestnem jedru, oddamo. ...|89,00 m2|1.275,00 €/mesec|1898|2016
LJ. CENTER|dvoinpolsobno|90 m2, 2,5-sobno, zgrajeno l. 1930, adaptirano l. 2018, 3/4 nad., oddamo. Cena: 1.100,00 EUR/mes|90,00 m2|1.100,00 €/mesec|1930|2018
LJ. CENTER|dvoinpolsobno|90 m2, 2,5-sobno, zgrajeno l. 1963, adaptirano l. 2019, 2/4 nad., oddamo. Cena: 1.050,00 EUR/mes|90,00 m2|1.050,00 €/mesec|1963|2019
LJ. CENTER|trisobno|90,7 m2, 3-sobno, zgrajeno l. 1939, 2/3 nad., oddamo. Cena: 900,00 EUR/mes|90,70 m2|900,00 €/mesec|1939|nan
LJ. CENTER|trisobno|91 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2016, 2. nad., oddamo. Cena: 850,00 EUR/mes|91,00 m2|850,00 €/mesec|1939|2016
LJ. CENTER|dvoinpolsobno|91,5 m2, 2,5-sobno, zgrajeno l. 2009, 5/6 nad., Stanovanje z enim parkirnim mestom v kletni garaži(možen najem še dveh p...|91,50 m2|950,00 €/mesec|2009|nan
LJ. CENTER|trisobno|92,7 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2010, 2/3 nad., v centru mesta, meščansko, parkiranje za zapornico, od...|92,70 m2|890,00 €/mesec|1939|2010
LJ. CENTER|dvosobno|93 m2, 2-sobno, zgrajeno l. 1550, 3/3 nad., balkon, zaprta loža, možnost najema od oktobra 2019 dalje, oddamo. Cena: 1.1...|93,00 m2|1.100,00 €/mesec|1550|nan
LJ. CENTER|trisobno|93,5 m2, 3-sobno, zgrajeno l. 1898, adaptirano l. 2005, 1. nad., Posredujemo pri oddaji popolnoma opremljenega stanovanj...|93,50 m2|1.200,00 €/mesec|1898|2005
LJ. CENTER|trisobno|93,5 m2, 3-sobno, zgrajeno l. 1898, adaptirano l. 2005, 1. nad., Posredujemo pri oddaji popolnoma opremljenega stanovanj...|93,50 m2|1.200,00 €/mesec|1898|2005
LJ. CENTER|dvoinpolsobno|95 m2, 2,5-sobno, adaptirano l. 2007, 3. nad., Na odlični lokaciji se oddja stanovanje z razgledom na Ljubljanico. Stano...|95,00 m2|850,00 €/mesec|nan|2007
LJ. CENTER|dvosobno|95,3 m2, 2-sobno, zgrajeno l. 1905, adaptirano l. 2000, 4. nad., oddamo. Cena: 790,00 EUR/mes|95,30 m2|790,00 €/mesec|1905|2000
LJ. CENTER|dvosobno|96,76 m2, 2-sobno, zgrajeno l. 1456, adaptirano l. 2017, 1. nad., oddamo. Cena: 1.200,00 EUR/mes|96,76 m2|1.200,00 €/mesec|1456|2017
LJ. CENTER|štirisobno|97,3 m2, 4-sobno, zgrajeno l. 1968, adaptirano l. 2016, 9. nad., oddamo. Cena: 1.200,00 EUR/mes|97,30 m2|1.200,00 €/mesec|1968|2016
LJ. CENTER|trisobno|97,6 m2, 3-sobno, zgrajeno l. 1780, adaptirano l. 2019, prijetno in moderno stanovanje v starem mestnem jedru, oddamo. C...|97,60 m2|1.500,00 €/mesec|1780|2019
LJ. CENTER|triinpolsobno|98,5 m2, 3,5-sobno, zgrajeno l. 2005, 1. nad., oddamo. Cena: 1.200,00 EUR/mes|98,50 m2|1.200,00 €/mesec|2005|nan
LJ. CENTER|štirisobno|98,7 m2, 4-sobno, zgrajeno l. 1991, adaptirano l. 2016, 1/4 nad., oddamo. Cena: 1.200,00 EUR/mes|98,70 m2|1.200,00 €/mesec|1991|2016
LJ. CENTER|trisobno|100 m2, 3-sobno, zgrajeno l. 1895, adaptirano l. 2018, oddamo. Cena: 1.600,00 EUR/mes|100,00 m2|1.600,00 €/mesec|1895|2018
LJ. CENTER|trisobno|100 m2, 3-sobno, zgrajeno l. 1904, adaptirano l. 2020, oddamo. Cena: 1.500,00 EUR/mes|100,00 m2|1.500,00 €/mesec|1904|2020
LJ. CENTER|dvoinpolsobno|100 m2, 2,5-sobno, dupleks, adaptirano l. 2015, 5/5 nad., oddamo. Cena: 900,00 EUR/mes|100,00 m2|900,00 €/mesec|nan|2015
LJ. CENTER|štirisobno|100 m2, 4-sobno, zgrajeno l. 1986, 2. nad., oddamo. Cena: 950,00 EUR/mes|100,00 m2|950,00 €/mesec|1986|nan
LJ. CENTER|trisobno|100,9 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2017, VP/4 nad., oddamo. Cena: 1.090,00 EUR/mes|100,90 m2|1.090,00 €/mesec|1939|2017
LJ. CENTER|štirisobno|102 m2, 4-sobno, zgrajeno l. 1930, adaptirano l. 2010, 3. nad., oddamo. Cena: 1.100,00 EUR/mes|102,00 m2|1.100,00 €/mesec|1930|2010
LJ. CENTER|štirisobno|102,3 m2, 4-sobno, zgrajeno l. 1902, adaptirano l. 2019, oddamo. Cena: 1.300,00 EUR/mes|102,30 m2|1.300,00 €/mesec|1902|2019
LJ. CENTER|štirisobno|102,5 m2, 4-sobno, zgrajeno l. 1991, 2. nad., oddamo. Cena: 1.200,00 EUR/mes|102,50 m2|1.200,00 €/mesec|1991|nan
LJ. CENTER|triinpolsobno|105 m2, 3,5-sobno, zgrajeno l. 1921, adaptirano l. 2018, 2/5 nad., 3 sobno staromeščansko stanovanje, popolnoma opremlje...|105,00 m2|1.400,00 €/mesec|1921|2018
LJ. CENTER|trisobno|105 m2, 3-sobno, zgrajeno l. 1900, 2/4 nad., oddamo. Cena: 1.300,00 EUR/mes|105,00 m2|1.300,00 €/mesec|1900|nan
LJ. CENTER|triinpolsobno|105 m2, 3,5-sobno, zgrajeno l. 1930, oddamo. Cena: 1.100,00 EUR/mes|105,00 m2|1.100,00 €/mesec|1930|nan
LJ. CENTER|trisobno|105,22 m2, 3-sobno, zgrajeno l. 1456, adaptirano l. 2017, 1. nad., oddamo. Cena: 1.200,00 EUR/mes|105,22 m2|1.200,00 €/mesec|1456|2017
LJ. CENTER|trisobno|106,5 m2, 3-sobno, zgrajeno l. 1933, oddamo. Cena: 1.250,00 EUR/mes|106,50 m2|1.250,00 €/mesec|1933|nan
LJ. CENTER|štirisobno|107 m2, 4-sobno, zgrajeno l. 1911, adaptirano l. 2019, 4. nad., oddamo. Cena: 1.200,00 EUR/mes|107,00 m2|1.200,00 €/mesec|1911|2019
LJ. CENTER|trisobno|107,2 m2, 3-sobno, zgrajeno l. 1985, adaptirano l. 2018, 5. nad., oddamo. Cena: 1.700,00 EUR/mes|107,20 m2|1.700,00 €/mesec|1985|2018
LJ. CENTER|trisobno|107,88 m2, 3-sobno, zgrajeno l. 2001, 4/6 nad., Udobno 3-sobno stanovanje na odlični lokaciji v centru Ljubljane, nedale...|107,88 m2|1.000,00 €/mesec|2001|nan
LJ. CENTER|trisobno|107,88 m2, 3-sobno, zgrajeno l. 2001, 4. nad., oddamo. Cena: 1.000,00 EUR/mes|107,88 m2|1.000,00 €/mesec|2001|nan
LJ. CENTER|trisobno|108 m2, 3-sobno, zgrajeno l. 2005, 4/5 nad., oddamo. Cena: 1.700,00 EUR/mes|108,00 m2|1.700,00 €/mesec|2005|nan
LJ. CENTER|trisobno|108 m2, 3-sobno, zgrajeno l. 2005, 4. nad., oddamo. Cena: 1.700,00 EUR/mes|108,00 m2|1.700,00 €/mesec|2005|nan
LJ. CENTER|trisobno|108 m2, 3-sobno, zgrajeno l. 2005, 4. nad., oddamo. Cena: 1.700,00 EUR/mes|108,00 m2|1.700,00 €/mesec|2005|nan
LJ. CENTER|trisobno|108,83 m2, 3-sobno, zgrajeno l. 2005, 4. nad., oddamo. Cena: 2.200,00 EUR/mes|108,83 m2|2.200,00 €/mesec|2005|nan
LJ. CENTER|štirisobno|109 m2, 4-sobno, v stavbi zgrajeni l. 1965, 8/10 nad., LJ-center, ferantov vrt na zelo želeni lokaciji oddamo 4 sobno st...|109,00 m2|1.100,00 €/mesec|1965|nan
LJ. CENTER|trisobno|109,42 m2, 3-sobno, zgrajeno l. 1932, mansarda, oddamo. Cena: 900,00 EUR/mes|109,42 m2|900,00 €/mesec|1932|nan
LJ. CENTER|trisobno|110 m2, 3-sobno, zgrajeno l. 1893, adaptirano l. 2017, pritličje, oddamo. Cena: 1.050,00 EUR/mes|110,00 m2|1.050,00 €/mesec|1893|2017
LJ. CENTER|trisobno|110 m2, 3-sobno, zgrajeno l. 1893, adaptirano l. 2017, pritličje, oddamo. Cena: 1.150,00 EUR/mes|110,00 m2|1.150,00 €/mesec|1893|2017
LJ. CENTER|trisobno|110 m2, 3-sobno, zgrajeno l. 1960, adaptirano l. 2018, V centru oddamo 3-sobno stanovanje, 110 m2, renovirano 2018, za d...|110,00 m2|1.200,00 €/mesec|1960|2018
LJ. CENTER|trisobno|111,6 m2, 3-sobno, zgrajeno l. 1506, adaptirano l. 2019, 1/3 nad., oddamo. Cena: 1.400,00 EUR/mes|111,60 m2|1.400,00 €/mesec|1506|2019
LJ. CENTER|trisobno|112 m2, 3-sobno, zgrajeno l. 1925, adaptirano l. 2009, oddamo. Cena: 1.350,00 EUR/mes|112,00 m2|1.350,00 €/mesec|1925|2009
LJ. CENTER|trisobno|112,7 m2, 3-sobno, zgrajeno l. 2000, 5/6 nad., oddamo. Cena: 1.300,00 EUR/mes|112,70 m2|1.300,00 €/mesec|2000|nan
LJ. CENTER|trisobno|112,7 m2, 3-sobno, zgrajeno l. 2000, 5. nad., V Centru Ljubljane oddamo popolnoma opremljeno, urejeno, svetlo, udobno in...|112,70 m2|1.300,00 €/mesec|2000|nan
LJ. CENTER|trisobno|112,7 m2, 3-sobno, zgrajeno l. 2000, 5/5 nad., 3-sobno stanovanje, Ljubljana Center - Barvarska steza, zgrajeno l. 2000,...|112,70 m2|1.400,00 €/mesec|2000|nan
LJ. CENTER|trisobno|112,73 m2, 3-sobno, zgrajeno l. 2000, 5. nad., oddamo. Cena: 1.350,00 EUR/mes|112,73 m2|1.350,00 €/mesec|2000|nan
LJ. CENTER|trisobno|113 m2, 3-sobno, zgrajeno l. 1896, 2/4 nad., urejeno, delno opremljeno meščansko stanovanje. Stanovanje ima prostorno pr...|113,00 m2|1.300,00 €/mesec|1896|nan
LJ. CENTER|trisobno|113 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2004, Posredujemo pri oddaji 3-sobnega stanovanja, ki se nahaja v večst...|113,00 m2|1.800,00 €/mesec|1896|2004
LJ. CENTER|trisobno|113 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2004, Posredujemo pri oddaji 3-sobnega stanovanja, ki se nahaja v večst...|113,00 m2|1.800,00 €/mesec|1896|2004
LJ. CENTER|trisobno|113 m2, 3-sobno, zgrajeno l. 1986, adaptirano l. 2019, 2. nad., V urejeni meščanski stavbi oddamo čudovito stanovanje s ...|113,00 m2|1.800,00 €/mesec|1986|2019
LJ. CENTER|trisobno|113 m2, 3-sobno, zgrajeno l. 1986, adaptirano l. 2017, 1. nad., V urejeni meščanski stavbi oddamo čudovito stanovanje s ...|113,00 m2|1.800,00 €/mesec|1986|2017
LJ. CENTER|trisobno|114 m2, 3-sobno, adaptirano l. 2018, Bližina Nebotičnika, super lokacija, oddamo. Cena: 1.250,00 EUR/mes|114,00 m2|1.250,00 €/mesec|nan|2018
LJ. CENTER|trisobno|114 m2, 3-sobno, zgrajeno l. 1933, 2. nad., oddamo. Cena: 1.200,00 EUR/mes|114,00 m2|1.200,00 €/mesec|1933|nan
LJ. CENTER|trisobno|114,13 m2, 3-sobno, zgrajeno l. 1456, adaptirano l. 2017, 2. nad., oddamo. Cena: 1.200,00 EUR/mes|114,13 m2|1.200,00 €/mesec|1456|2017
LJ. CENTER|štirisobno|114,5 m2, 4-sobno, zgrajeno l. 1820, adaptirano l. 2008, 1. nad., stanovanje se nahaja v obnovljeni staro meščanski hiši...|114,50 m2|1.300,00 €/mesec|1820|2008
LJ. CENTER|triinpolsobno|117 m2, 3,5-sobno, adaptirano l. 2020, Prijetno in moderno stanovanje v starem mestnem jedru, oddamo. Cena: 1.400,00 EUR...|117,00 m2|1.400,00 €/mesec|nan|2020
LJ. CENTER|trisobno|117 m2, 3-sobno, zgrajeno l. 1911, 1. nad., oddamo. Cena: 1.950,00 EUR/mes|117,00 m2|1.950,00 €/mesec|1911|nan
LJ. CENTER|trisobno|117 m2, 3-sobno, zgrajeno l. 2008, 3. nad., oddamo. Cena: 2.200,00 EUR/mes|117,00 m2|2.200,00 €/mesec|2008|nan
LJ. CENTER|štirisobno|118 m2, 4-sobno, zgrajeno l. 1928, Balkon, fantastična lokacija, oddamo. Cena: 1.250,00 EUR/mes|118,00 m2|1.250,00 €/mesec|1928|nan
LJ. CENTER|trisobno|120 m2, 3-sobno, zgrajeno l. 1500, adaptirano l. 2015, 3/5 nad., oddamo. Cena: 1.300,00 EUR/mes|120,00 m2|1.300,00 €/mesec|1500|2015
LJ. CENTER|trisobno|120 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2004, 2. nad., oddamo. Cena: 1.300,00 EUR/mes|120,00 m2|1.300,00 €/mesec|1896|2004
LJ. CENTER|trisobno|120 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2004, oddamo. Cena: 1.300,00 EUR/mes|120,00 m2|1.300,00 €/mesec|1896|2004
LJ. CENTER|trisobno|120 m2, 3-sobno, zgrajeno l. 1550, 2/3 nad., oddamo. Cena: 900,00 EUR/mes|120,00 m2|900,00 €/mesec|1550|nan
LJ. CENTER|trisobno|121,9 m2, 3-sobno, zgrajeno l. 1933, 4. nad., Čudovito stanovanje z balkonom in lepim razgledom, dvigalo;, oddamo. Cena:...|121,90 m2|1.300,00 €/mesec|1933|nan
LJ. CENTER|trisobno|123 m2, 3-sobno, zgrajeno l. 1550, adaptirano l. 1990, oddamo. Cena: 1.500,00 EUR/mes|123,00 m2|1.500,00 €/mesec|1550|1990
LJ. CENTER|trisobno|123,9 m2, 3-sobno, zgrajeno l. 1920, adaptirano l. 2008, 3. nad., oddamo. Cena: 1.300,00 EUR/mes|123,90 m2|1.300,00 €/mesec|1920|2008
LJ. CENTER|trisobno|124,9 m2, 3-sobno, zgrajeno l. 1933, 4. nad., prostorno stanovanje v Dukičevih blokih, bližina Tivolija, dvigalo, oddamo...|124,90 m2|1.200,00 €/mesec|1933|nan
LJ. CENTER|trisobno|124,9 m2, 3-sobno, zgrajeno l. 1933, adaptirano l. 1999, 4. nad., oddamo. Cena: 1.400,00 EUR/mes|124,90 m2|1.400,00 €/mesec|1933|1999
LJ. CENTER|triinpolsobno|125 m2, 3,5-sobno, zgrajeno l. 1922, adaptirano l. 2007, 2. nad., oddamo. Cena: 1.200,00 EUR/mes|125,00 m2|1.200,00 €/mesec|1922|2007
